﻿EARTHID,CENTERLON,CENTERLAT,CENTERX,CENTERY,LEFTLOST,REALLEFTLON,REALRIGHTLON,REALTOPLAT,REALBOTTOMLAT,ANGLEPER100LON,ANGLEPER100LAT
101,-177,-88.5,500000,-9834425.14580183,32.59519388,-179.98884669,-173.98884669,-87,-90,0.03421765,0.00089531 
102,-177,-85.5,500000,-9499353.25276234,22.17852291,-179.997468,-173.997468,-84,-87,0.01141647,0.00089536     
103,-177,-82.5,500000,-9164309.07697639,84.83815949,-179.99417789,-173.99417789,-81,-84,0.00686261,0.00089546 
104,-177,-79.5,500000,-8829310.75068659,69.03981958,-179.99660632,-173.99660632,-78,-81,0.00491554,0.00089561 
105,-177,-76.5,500000,-8494375.89161647,22.87301296,-179.99912226,-173.99912226,-75,-78,0.00383744,0.0008958  
106,-177,-73.5,500000,-8159521.40583675,93.90356377,-179.99703793,-173.99703793,-72,-75,0.00315437,0.00089604 
107,-177,-70.5,500000,-7824763.29914969,29.02907273,-179.99922084,-173.99922084,-69,-72,0.00268406,0.00089631 
108,-177,-67.5,500000,-7490116.49920736,74.3380756,-179.99825941,-173.99825941,-66,-69,0.00234145,0.00089663  
109,-177,-64.5,500000,-7155594.69042272,74.9735918,-179.99843941,-173.99843941,-63,-66,0.00208153,0.00089698  
110,-177,-61.5,500000,-6821210.16354846,75.00168639,-179.9985913,-173.9985913,-60,-63,0.00187823,0.00089737   
111,-177,-58.5,500000,-6486973.68159123,17.28559012,-179.99970348,-173.99970348,-57,-60,0.00171544,0.00089778 
112,-177,-55.5,500000,-6152894.36350265,43.36583804,-179.99931367,-173.99931367,-54,-57,0.00158264,0.00089821 
113,-177,-52.5,500000,-5818979.58684792,93.34679988,-179.99862528,-173.99862528,-51,-54,0.00147271,0.00089866 
114,-177,-49.5,500000,-5485234.9104024,5.78988637,-179.99992006,-173.99992006,-48,-51,0.00138062,0.00089912   
115,-177,-46.5,500000,-5151664.0173716,17.6136281,-179.99977054,-173.99977054,-45,-48,0.00130275,0.0008996    
116,-177,-43.5,500000,-4818268.67967382,64.00073932,-179.99920868,-173.99920868,-42,-45,0.00123642,0.00090007 
117,-177,-40.5,500000,-4485048.7434723,78.31219901,-179.99907622,-173.99907622,-39,-42,0.00117961,0.00090054  
118,-177,-37.5,500000,-4152002.13589837,92.00830929,-179.99895961,-173.99895961,-36,-39,0.00113076,0.00090101 
119,-177,-34.5,500000,-3819124.89267168,34.5766259,-179.99962357,-173.99962357,-33,-36,0.00108867,0.00090146  
120,-177,-31.5,500000,-3486411.20610157,33.46660029,-179.9996478,-173.9996478,-30,-33,0.00105239,0.00090189   
121,-177,-28.5,500000,-3153853.4927457,14.03072666,-179.99985673,-173.99985673,-27,-30,0.00102115,0.0009023   
122,-177,-25.5,500000,-2821442.47981127,99.4719521,-179.99901089,-173.99901089,-24,-27,0.00099436,0.00090269  
123,-177,-22.5,500000,-2489167.30921038,10.79708313,-179.9998951,-173.9998951,-21,-24,0.00097154,0.00090304   
124,-177,-19.5,500000,-2157015.65802494,66.77590742,-179.99936411,-173.99936411,-18,-21,0.00095228,0.00090336 
125,-177,-16.5,500000,-1824973.87399879,83.90574542,-179.99921441,-173.99921441,-15,-18,0.00093628,0.00090364 
126,-177,-13.5,500000,-1493027.12455401,76.38115199,-179.99929478,-173.99929478,-12,-15,0.00092329,0.00090387 
127,-177,-10.5,500000,-1161159.55772507,56.06850236,-179.99948803,-173.99948803,-9,-12,0.00091312,0.00090407  
128,-177,-7.5,500000,-829354.47331754,32.48521928,-179.99970581,-173.99970581,-6,-9,0.00090561,0.00090421     
129,-177,-4.5,500000,-497594.50252586,12.7834274,-179.99988486,-173.99988486,-3,-6,0.00090067,0.00090431      
130,-177,-1.5,500000,-165861.79418815,1.7378567,-179.99998439,-173.99998439,0,-3,0.00089821,0.00090436        
131,-177,1.5,500000,165861.79418815,1.7378567,-179.99998439,-173.99998439,3,0,0.00089821,0.00090436           
132,-177,4.5,500000,497594.50252586,12.7834274,-179.99988486,-173.99988486,6,3,0.00090067,0.00090431          
